165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
165132,72345678901234,20,17,20,03-12-2025
265132,42345678901234,20,17,20,03-12-2025
365132,02345678901234,20,17,20,03-12-2025
465132,12345678901234,20,17,20,03-12-2025
565132,22345678901234,20,17,20,03-12-2025
665132,32345678901234,50,45,50,03-12-2025
765132,52345678901234,50,45,50,03-12-2025
865132,62345678901234,50,45,50,03-12-2025
965132,82345678901234,50,45,50,03-12-2025
065132,92345678901234,50,45,50,03-12-2025
